,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
118,119,0,1,male,24.0,0,1,PC 17558,247.5208,B58 B60,C
119,120,0,3,female,2.0,4,2,347082,31.275,,S
120,121,0,2,male,21.0,2,0,S.O.C. 14879,73.5,,S
121,122,0,3,male,,0,0,A4. 54510,8.05,,S
122,123,0,2,male,32.5,1,0,237736,30.0708,,C
123,124,1,2,female,32.5,0,0,27267,13.0,E101,S
124,125,0,1,male,54.0,0,1,35281,77.2875,D26,S
125,126,1,3,male,12.0,1,0,2651,11.2417,,C
126,127,0,3,male,,0,0,370372,7.75,,Q
127,128,1,3,male,24.0,0,0,C 17369,7.1417,,S
128,129,1,3,female,,1,1,2668,22.3583,F E69,C
129,130,0,3,male,45.0,0,0,347061,6.975,,S
130,131,0,3,male,33.0,0,0,349241,7.8958,,C
131,132,0,3,male,20.0,0,0,SOTON/O.Q. 3101307,7.05,,S
132,133,0,3,female,47.0,1,0,A/5. 3337,14.5,,S
133,134,1,2,female,29.0,1,0,228414,26.0,,S
134,135,0,2,male,25.0,0,0,C.A. 29178,13.0,,S
135,136,0,2,male,23.0,0,0,SC/PARIS 2133,15.0458,,C
136,137,1,1,female,19.0,0,2,11752,26.2833,D47,S
137,138,0,1,male,37.0,1,0,113803,53.1,C123,S
138,139,0,3,male,16.0,0,0,7534,9.2167,,S
139,140,0,1,male,24.0,0,0,PC 17593,79.2,B86,C
140,141,0,3,female,,0,2,2678,15.2458,,C
141,142,1,3,female,22.0,0,0,347081,7.75,,S
142,143,1,3,female,24.0,1,0,STON/O2. 3101279,15.85,,S
143,144,0,3,male,19.0,0,0,365222,6.75,,Q
144,145,0,2,male,18.0,0,0,231945,11.5,,S
145,146,0,2,male,19.0,1,1,C.A. 33112,36.75,,S
146,147,1,3,male,27.0,0,0,350043,7.7958,,S
147,148,0,3,female,9.0,2,2,W./C. 6608,34.375,,S
148,149,0,2,male,36.5,0,2,230080,26.0,F2,S
149,150,0,2,male,42.0,0,0,244310,13.0,,S
150,151,0,2,male,51.0,0,0,S.O.P. 1166,12.525,,S
151,152,1,1,female,22.0,1,0,113776,66.6,C2,S
152,153,0,3,male,55.5,0,0,A.5. 11206,8.05,,S
153,154,0,3,male,40.5,0,2,A/5. 851,14.5,,S
154,155,0,3,male,,0,0,Fa 265302,7.3125,,S
155,156,0,1,male,51.0,0,1,PC 17597,61.3792,,C
156,157,1,3,female,16.0,0,0,35851,7.7333,,Q
157,158,0,3,male,30.0,0,0,SOTON/OQ 392090,8.05,,S
158,159,0,3,male,,0,0,315037,8.6625,,S
159,160,0,3,male,,8,2,CA. 2343,69.55,,S
160,161,0,3,male,44.0,0,1,371362,16.1,,S
161,162,1,2,female,40.0,0,0,C.A. 33595,15.75,,S
162,163,0,3,male,26.0,0,0,347068,7.775,,S
163,164,0,3,male,17.0,0,0,315093,8.6625,,S
164,165,0,3,male,1.0,4,1,3101295,39.6875,,S
165,166,1,3,male,9.0,0,2,363291,20.525,,S
166,167,1,1,female,,0,1,113505,55.0,E33,S
167,168,0,3,female,45.0,1,4,347088,27.9,,S
168,169,0,1,male,,0,0,PC 17318,25.925,,S
169,170,0,3,male,28.0,0,0,1601,56.4958,,S
170,171,0,1,male,61.0,0,0,111240,33.5,B19,S
171,172,0,3,male,4.0,4,1,382652,29.125,,Q
172,173,1,3,female,1.0,1,1,347742,11.1333,,S
173,174,0,3,male,21.0,0,0,STON/O 2. 3101280,7.925,,S
174,175,0,1,male,56.0,0,0,17764,30.6958,A7,C
175,176,0,3,male,18.0,1,1,350404,7.8542,,S
176,177,0,3,male,,3,1,4133,25.4667,,S
177,178,0,1,female,50.0,0,0,PC 17595,28.7125,C49,C
178,179,0,2,male,30.0,0,0,250653,13.0,,S
179,180,0,3,male,36.0,0,0,LINE,0.0,,S
180,181,0,3,female,,8,2,CA. 2343,69.55,,S
181,182,0,2,male,,0,0,SC/PARIS 2131,15.05,,C
182,183,0,3,male,9.0,4,2,347077,31.3875,,S
183,184,1,2,male,1.0,2,1,230136,39.0,F4,S
184,185,1,3,female,4.0,0,2,315153,22.025,,S
185,186,0,1,male,,0,0,113767,50.0,A32,S
186,187,1,3,female,,1,0,370365,15.5,,Q
187,188,1,1,male,45.0,0,0,111428,26.55,,S
188,189,0,3,male,40.0,1,1,364849,15.5,,Q
189,190,0,3,male,36.0,0,0,349247,7.8958,,S
190,191,1,2,female,32.0,0,0,234604,13.0,,S
191,192,0,2,male,19.0,0,0,28424,13.0,,S
192,193,1,3,female,19.0,1,0,350046,7.8542,,S
193,194,1,2,male,3.0,1,1,230080,26.0,F2,S
194,195,1,1,female,44.0,0,0,PC 17610,27.7208,B4,C
195,196,1,1,female,58.0,0,0,PC 17569,146.5208,B80,C
196,197,0,3,male,,0,0,368703,7.75,,Q
197,198,0,3,male,42.0,0,1,4579,8.4042,,S
198,199,1,3,female,,0,0,370370,7.75,,Q
199,200,0,2,female,24.0,0,0,248747,13.0,,S
200,201,0,3,male,28.0,0,0,345770,9.5,,S
201,202,0,3,male,,8,2,CA. 2343,69.55,,S
202,203,0,3,male,34.0,0,0,3101264,6.4958,,S
203,204,0,3,male,45.5,0,0,2628,7.225,,C
204,205,1,3,male,18.0,0,0,A/5 3540,8.05,,S
205,206,0,3,female,2.0,0,1,347054,10.4625,G6,S
206,207,0,3,male,32.0,1,0,3101278,15.85,,S
207,208,1,3,male,26.0,0,0,2699,18.7875,,C
208,209,1,3,female,16.0,0,0,367231,7.75,,Q
209,210,1,1,male,40.0,0,0,112277,31.0,A31,C
210,211,0,3,male,24.0,0,0,SOTON/O.Q. 3101311,7.05,,S
211,212,1,2,female,35.0,0,0,F.C.C. 13528,21.0,,S
212,213,0,3,male,22.0,0,0,A/5 21174,7.25,,S
213,214,0,2,male,30.0,0,0,250646,13.0,,S
214,215,0,3,male,,1,0,367229,7.75,,Q
215,216,1,1,female,31.0,1,0,35273,113.275,D36,C
216,217,1,3,female,27.0,0,0,STON/O2. 3101283,7.925,,S
217,218,0,2,male,42.0,1,0,243847,27.0,,S
218,219,1,1,female,32.0,0,0,11813,76.2917,D15,C
219,220,0,2,male,30.0,0,0,W/C 14208,10.5,,S
220,221,1,3,male,16.0,0,0,SOTON/OQ 392089,8.05,,S
221,222,0,2,male,27.0,0,0,220367,13.0,,S
222,223,0,3,male,51.0,0,0,21440,8.05,,S
223,224,0,3,male,,0,0,349234,7.8958,,S
224,225,1,1,male,38.0,1,0,19943,90.0,C93,S
225,226,0,3,male,22.0,0,0,PP 4348,9.35,,S
226,227,1,2,male,19.0,0,0,SW/PP 751,10.5,,S
227,228,0,3,male,20.5,0,0,A/5 21173,7.25,,S
228,229,0,2,male,18.0,0,0,236171,13.0,,S
229,230,0,3,female,,3,1,4133,25.4667,,S
230,231,1,1,female,35.0,1,0,36973,83.475,C83,S
231,232,0,3,male,29.0,0,0,347067,7.775,,S
232,233,0,2,male,59.0,0,0,237442,13.5,,S
233,234,1,3,female,5.0,4,2,347077,31.3875,,S
234,235,0,2,male,24.0,0,0,C.A. 29566,10.5,,S
235,236,0,3,female,,0,0,W./C. 6609,7.55,,S
236,237,0,2,male,44.0,1,0,26707,26.0,,S
237,238,1,2,female,8.0,0,2,C.A. 31921,26.25,,S
238,239,0,2,male,19.0,0,0,28665,10.5,,S
239,240,0,2,male,33.0,0,0,SCO/W 1585,12.275,,S
240,241,0,3,female,,1,0,2665,14.4542,,C
241,242,1,3,female,,1,0,367230,15.5,,Q
242,243,0,2,male,29.0,0,0,W./C. 14263,10.5,,S
243,244,0,3,male,22.0,0,0,STON/O 2. 3101275,7.125,,S
244,245,0,3,male,30.0,0,0,2694,7.225,,C
245,246,0,1,male,44.0,2,0,19928,90.0,C78,Q
246,247,0,3,female,25.0,0,0,347071,7.775,,S
247,248,1,2,female,24.0,0,2,250649,14.5,,S
248,249,1,1,male,37.0,1,1,11751,52.5542,D35,S
249,250,0,2,male,54.0,1,0,244252,26.0,,S
250,251,0,3,male,,0,0,362316,7.25,,S
251,252,0,3,female,29.0,1,1,347054,10.4625,G6,S
252,253,0,1,male,62.0,0,0,113514,26.55,C87,S
253,254,0,3,male,30.0,1,0,A/5. 3336,16.1,,S
254,255,0,3,female,41.0,0,2,370129,20.2125,,S
255,256,1,3,female,29.0,0,2,2650,15.2458,,C
256,257,1,1,female,,0,0,PC 17585,79.2,,C
257,258,1,1,female,30.0,0,0,110152,86.5,B77,S
258,259,1,1,female,35.0,0,0,PC 17755,512.3292,,C
259,260,1,2,female,50.0,0,1,230433,26.0,,S
260,261,0,3,male,,0,0,384461,7.75,,Q
261,262,1,3,male,3.0,4,2,347077,31.3875,,S
262,263,0,1,male,52.0,1,1,110413,79.65,E67,S
263,264,0,1,male,40.0,0,0,112059,0.0,B94,S
264,265,0,3,female,,0,0,382649,7.75,,Q
265,266,0,2,male,36.0,0,0,C.A. 17248,10.5,,S
266,267,0,3,male,16.0,4,1,3101295,39.6875,,S
267,268,1,3,male,25.0,1,0,347083,7.775,,S
268,269,1,1,female,58.0,0,1,PC 17582,153.4625,C125,S
269,270,1,1,female,35.0,0,0,PC 17760,135.6333,C99,S
270,271,0,1,male,,0,0,113798,31.0,,S
271,272,1,3,male,25.0,0,0,LINE,0.0,,S
272,273,1,2,female,41.0,0,1,250644,19.5,,S
273,274,0,1,male,37.0,0,1,PC 17596,29.7,C118,C
274,275,1,3,female,,0,0,370375,7.75,,Q
275,276,1,1,female,63.0,1,0,13502,77.9583,D7,S
276,277,0,3,female,45.0,0,0,347073,7.75,,S
277,278,0,2,male,,0,0,239853,0.0,,S
278,279,0,3,male,7.0,4,1,382652,29.125,,Q
279,280,1,3,female,35.0,1,1,C.A. 2673,20.25,,S
280,281,0,3,male,65.0,0,0,336439,7.75,,Q
281,282,0,3,male,28.0,0,0,347464,7.8542,,S
282,283,0,3,male,16.0,0,0,345778,9.5,,S
283,284,1,3,male,19.0,0,0,A/5. 10482,8.05,,S
284,285,0,1,male,,0,0,113056,26.0,A19,S
285,286,0,3,male,33.0,0,0,349239,8.6625,,C
286,287,1,3,male,30.0,0,0,345774,9.5,,S
287,288,0,3,male,22.0,0,0,349206,7.8958,,S
288,289,1,2,male,42.0,0,0,237798,13.0,,S
289,290,1,3,female,22.0,0,0,370373,7.75,,Q
290,291,1,1,female,26.0,0,0,19877,78.85,,S
291,292,1,1,female,19.0,1,0,11967,91.0792,B49,C
292,293,0,2,male,36.0,0,0,SC/Paris 2163,12.875,D,C
293,294,0,3,female,24.0,0,0,349236,8.85,,S
294,295,0,3,male,24.0,0,0,349233,7.8958,,S
295,296,0,1,male,,0,0,PC 17612,27.7208,,C
296,297,0,3,male,23.5,0,0,2693,7.2292,,C
297,298,0,1,female,2.0,1,2,113781,151.55,C22 C26,S
298,299,1,1,male,,0,0,19988,30.5,C106,S
299,300,1,1,female,50.0,0,1,PC 17558,247.5208,B58 B60,C
300,301,1,3,female,,0,0,9234,7.75,,Q
301,302,1,3,male,,2,0,367226,23.25,,Q
302,303,0,3,male,19.0,0,0,LINE,0.0,,S
303,304,1,2,female,,0,0,226593,12.35,E101,Q
304,305,0,3,male,,0,0,A/5 2466,8.05,,S
305,306,1,1,male,0.92,1,2,113781,151.55,C22 C26,S
306,307,1,1,female,,0,0,17421,110.8833,,C
307,308,1,1,female,17.0,1,0,PC 17758,108.9,C65,C
308,309,0,2,male,30.0,1,0,P/PP 3381,24.0,,C
309,310,1,1,female,30.0,0,0,PC 17485,56.9292,E36,C
310,311,1,1,female,24.0,0,0,11767,83.1583,C54,C
311,312,1,1,female,18.0,2,2,PC 17608,262.375,B57 B59 B63 B66,C
312,313,0,2,female,26.0,1,1,250651,26.0,,S
313,314,0,3,male,28.0,0,0,349243,7.8958,,S
314,315,0,2,male,43.0,1,1,F.C.C. 13529,26.25,,S
315,316,1,3,female,26.0,0,0,347470,7.8542,,S
316,317,1,2,female,24.0,1,0,244367,26.0,,S
317,318,0,2,male,54.0,0,0,29011,14.0,,S
318,319,1,1,female,31.0,0,2,36928,164.8667,C7,S
319,320,1,1,female,40.0,1,1,16966,134.5,E34,C
320,321,0,3,male,22.0,0,0,A/5 21172,7.25,,S
321,322,0,3,male,27.0,0,0,349219,7.8958,,S
322,323,1,2,female,30.0,0,0,234818,12.35,,Q
323,324,1,2,female,22.0,1,1,248738,29.0,,S
324,325,0,3,male,,8,2,CA. 2343,69.55,,S
325,326,1,1,female,36.0,0,0,PC 17760,135.6333,C32,C
326,327,0,3,male,61.0,0,0,345364,6.2375,,S
327,328,1,2,female,36.0,0,0,28551,13.0,D,S
328,329,1,3,female,31.0,1,1,363291,20.525,,S
329,330,1,1,female,16.0,0,1,111361,57.9792,B18,C
330,331,1,3,female,,2,0,367226,23.25,,Q
331,332,0,1,male,45.5,0,0,113043,28.5,C124,S
332,333,0,1,male,38.0,0,1,PC 17582,153.4625,C91,S
333,334,0,3,male,16.0,2,0,345764,18.0,,S
334,335,1,1,female,,1,0,PC 17611,133.65,,S
335,336,0,3,male,,0,0,349225,7.8958,,S
336,337,0,1,male,29.0,1,0,113776,66.6,C2,S
337,338,1,1,female,41.0,0,0,16966,134.5,E40,C
338,339,1,3,male,45.0,0,0,7598,8.05,,S
339,340,0,1,male,45.0,0,0,113784,35.5,T,S
340,341,1,2,male,2.0,1,1,230080,26.0,F2,S
341,342,1,1,female,24.0,3,2,19950,263.0,C23 C25 C27,S
342,343,0,2,male,28.0,0,0,248740,13.0,,S
343,344,0,2,male,25.0,0,0,244361,13.0,,S
344,345,0,2,male,36.0,0,0,229236,13.0,,S
345,346,1,2,female,24.0,0,0,248733,13.0,F33,S
346,347,1,2,female,40.0,0,0,31418,13.0,,S
347,348,1,3,female,,1,0,386525,16.1,,S
348,349,1,3,male,3.0,1,1,C.A. 37671,15.9,,S
349,350,0,3,male,42.0,0,0,315088,8.6625,,S
350,351,0,3,male,23.0,0,0,7267,9.225,,S
351,352,0,1,male,,0,0,113510,35.0,C128,S
352,353,0,3,male,15.0,1,1,2695,7.2292,,C
353,354,0,3,male,25.0,1,0,349237,17.8,,S
354,355,0,3,male,,0,0,2647,7.225,,C
355,356,0,3,male,28.0,0,0,345783,9.5,,S
356,357,1,1,female,22.0,0,1,113505,55.0,E33,S
357,358,0,2,female,38.0,0,0,237671,13.0,,S
358,359,1,3,female,,0,0,330931,7.8792,,Q
359,360,1,3,female,,0,0,330980,7.8792,,Q
360,361,0,3,male,40.0,1,4,347088,27.9,,S
361,362,0,2,male,29.0,1,0,SC/PARIS 2167,27.7208,,C
362,363,0,3,female,45.0,0,1,2691,14.4542,,C
363,364,0,3,male,35.0,0,0,SOTON/O.Q. 3101310,7.05,,S
364,365,0,3,male,,1,0,370365,15.5,,Q
365,366,0,3,male,30.0,0,0,C 7076,7.25,,S
366,367,1,1,female,60.0,1,0,110813,75.25,D37,C
367,368,1,3,female,,0,0,2626,7.2292,,C
368,369,1,3,female,,0,0,14313,7.75,,Q
369,370,1,1,female,24.0,0,0,PC 17477,69.3,B35,C
370,371,1,1,male,25.0,1,0,11765,55.4417,E50,C
371,372,0,3,male,18.0,1,0,3101267,6.4958,,S
372,373,0,3,male,19.0,0,0,323951,8.05,,S
373,374,0,1,male,22.0,0,0,PC 17760,135.6333,,C
374,375,0,3,female,3.0,3,1,349909,21.075,,S
375,376,1,1,female,,1,0,PC 17604,82.1708,,C
376,377,1,3,female,22.0,0,0,C 7077,7.25,,S
377,378,0,1,male,27.0,0,2,113503,211.5,C82,C
378,379,0,3,male,20.0,0,0,2648,4.0125,,C
379,380,0,3,male,19.0,0,0,347069,7.775,,S
380,381,1,1,female,42.0,0,0,PC 17757,227.525,,C
381,382,1,3,female,1.0,0,2,2653,15.7417,,C
382,383,0,3,male,32.0,0,0,STON/O 2. 3101293,7.925,,S
383,384,1,1,female,35.0,1,0,113789,52.0,,S
384,385,0,3,male,,0,0,349227,7.8958,,S
385,386,0,2,male,18.0,0,0,S.O.C. 14879,73.5,,S
386,387,0,3,male,1.0,5,2,CA 2144,46.9,,S
387,388,1,2,female,36.0,0,0,27849,13.0,,S
388,389,0,3,male,,0,0,367655,7.7292,,Q
389,390,1,2,female,17.0,0,0,SC 1748,12.0,,C
390,391,1,1,male,36.0,1,2,113760,120.0,B96 B98,S
391,392,1,3,male,21.0,0,0,350034,7.7958,,S
392,393,0,3,male,28.0,2,0,3101277,7.925,,S
393,394,1,1,female,23.0,1,0,35273,113.275,D36,C
394,395,1,3,female,24.0,0,2,PP 9549,16.7,G6,S
395,396,0,3,male,22.0,0,0,350052,7.7958,,S
396,397,0,3,female,31.0,0,0,350407,7.8542,,S
397,398,0,2,male,46.0,0,0,28403,26.0,,S
398,399,0,2,male,23.0,0,0,244278,10.5,,S
399,400,1,2,female,28.0,0,0,240929,12.65,,S
400,401,1,3,male,39.0,0,0,STON/O 2. 3101289,7.925,,S
401,402,0,3,male,26.0,0,0,341826,8.05,,S
402,403,0,3,female,21.0,1,0,4137,9.825,,S
403,404,0,3,male,28.0,1,0,STON/O2. 3101279,15.85,,S
404,405,0,3,female,20.0,0,0,315096,8.6625,,S
405,406,0,2,male,34.0,1,0,28664,21.0,,S
406,407,0,3,male,51.0,0,0,347064,7.75,,S
407,408,1,2,male,3.0,1,1,29106,18.75,,S
408,409,0,3,male,21.0,0,0,312992,7.775,,S
409,410,0,3,female,,3,1,4133,25.4667,,S
410,411,0,3,male,,0,0,349222,7.8958,,S
411,412,0,3,male,,0,0,394140,6.8583,,Q
412,413,1,1,female,33.0,1,0,19928,90.0,C78,Q
413,414,0,2,male,,0,0,239853,0.0,,S
414,415,1,3,male,44.0,0,0,STON/O 2. 3101269,7.925,,S
415,416,0,3,female,,0,0,343095,8.05,,S
416,417,1,2,female,34.0,1,1,28220,32.5,,S
417,418,1,2,female,18.0,0,2,250652,13.0,,S
418,419,0,2,male,30.0,0,0,28228,13.0,,S
419,420,0,3,female,10.0,0,2,345773,24.15,,S
420,421,0,3,male,,0,0,349254,7.8958,,C
421,422,0,3,male,21.0,0,0,A/5. 13032,7.7333,,Q
422,423,0,3,male,29.0,0,0,315082,7.875,,S
423,424,0,3,female,28.0,1,1,347080,14.4,,S
424,425,0,3,male,18.0,1,1,370129,20.2125,,S
425,426,0,3,male,,0,0,A/4. 34244,7.25,,S
426,427,1,2,female,28.0,1,0,2003,26.0,,S
427,428,1,2,female,19.0,0,0,250655,26.0,,S
428,429,0,3,male,,0,0,364851,7.75,,Q
429,430,1,3,male,32.0,0,0,SOTON/O.Q. 392078,8.05,E10,S
430,431,1,1,male,28.0,0,0,110564,26.55,C52,S
431,432,1,3,female,,1,0,376564,16.1,,S
432,433,1,2,female,42.0,1,0,SC/AH 3085,26.0,,S
433,434,0,3,male,17.0,0,0,STON/O 2. 3101274,7.125,,S
434,435,0,1,male,50.0,1,0,13507,55.9,E44,S
435,436,1,1,female,14.0,1,2,113760,120.0,B96 B98,S
436,437,0,3,female,21.0,2,2,W./C. 6608,34.375,,S
437,438,1,2,female,24.0,2,3,29106,18.75,,S
438,439,0,1,male,64.0,1,4,19950,263.0,C23 C25 C27,S
439,440,0,2,male,31.0,0,0,C.A. 18723,10.5,,S
440,441,1,2,female,45.0,1,1,F.C.C. 13529,26.25,,S
441,442,0,3,male,20.0,0,0,345769,9.5,,S
442,443,0,3,male,25.0,1,0,347076,7.775,,S
443,444,1,2,female,28.0,0,0,230434,13.0,,S
444,445,1,3,male,,0,0,65306,8.1125,,S
445,446,1,1,male,4.0,0,2,33638,81.8583,A34,S
446,447,1,2,female,13.0,0,1,250644,19.5,,S
447,448,1,1,male,34.0,0,0,113794,26.55,,S
448,449,1,3,female,5.0,2,1,2666,19.2583,,C
449,450,1,1,male,52.0,0,0,113786,30.5,C104,S
450,451,0,2,male,36.0,1,2,C.A. 34651,27.75,,S
451,452,0,3,male,,1,0,65303,19.9667,,S
452,453,0,1,male,30.0,0,0,113051,27.75,C111,C
453,454,1,1,male,49.0,1,0,17453,89.1042,C92,C
454,455,0,3,male,,0,0,A/5 2817,8.05,,S
455,456,1,3,male,29.0,0,0,349240,7.8958,,C
456,457,0,1,male,65.0,0,0,13509,26.55,E38,S
457,458,1,1,female,,1,0,17464,51.8625,D21,S
458,459,1,2,female,50.0,0,0,F.C.C. 13531,10.5,,S
459,460,0,3,male,,0,0,371060,7.75,,Q
460,461,1,1,male,48.0,0,0,19952,26.55,E12,S
461,462,0,3,male,34.0,0,0,364506,8.05,,S
462,463,0,1,male,47.0,0,0,111320,38.5,E63,S
463,464,0,2,male,48.0,0,0,234360,13.0,,S
464,465,0,3,male,,0,0,A/S 2816,8.05,,S
465,466,0,3,male,38.0,0,0,SOTON/O.Q. 3101306,7.05,,S
